Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
1,Aceh,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1,3572
2,Bali,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,2,3573
3,Banten,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,3,3574
4,Kepulauan Bangka Belitung,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,4,3575
5,Bengkulu,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,5,3576
6,Daerah Istimewa Yogyakarta,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,6,3577
7,DKI Jakarta,2020/03/02 00:00:00+00,2,0,0,0,0,0,2,0,0,7,3578
8,Jambi,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,8,3579
9,Jawa Barat,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,9,3580
10,Jawa Tengah,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,10,3581
11,Jawa Timur,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,11,3582
12,Kalimantan Barat,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,12,3583
13,Kalimantan Timur,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,13,3584
14,Kalimantan Tengah,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,14,3585
